# [MIGRATED REPORT PROVENANCE - flagged 2026-09-09] Commit d5cb15b renumbered
#   every ab(...)@2 id in this file to @3 and, in five of the seven refute
#   reports, deleted the time=-opponent rows. This run was performed by the @2
#   binary. Read @3 here as @2, and check the row count against
#   git show d5cb15b^:<this path> before quoting a rate. See Docs/corrections.md.
# rank.exe refute -- one row per (target, colour)
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2	wearer=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=22)@1	board=boards/board1.txt
# mined: 1 = the miner found a win, 0 = conceded
# verify: W/L/D for the BOOK's side, replayed through openerBook by the wearer
# blocked_shared: every position on the losing line was owned by an already-won
#   line, so no move could be changed without breaking one. That is the merge
#   conflict a single position-keyed book cannot express.
# audit: 1 = the WRITTEN book won this line replayed on its own. Distinct from
#   `mined`, which only says the line was found while our side was still
#   searching at unbooked plies.
# oob_first: the first of OUR moves the book did not serve, so the fallback brain
#   had to choose (-1 = the book covered the whole line). A line with oob_first
#   >= 0 was carried by the brain, not by the book, whatever its result says.
# oob_key: the position hash at oob_first, in the same 16-digit form the
#   book file uses (0 = the book covered the whole line). Match it against
#   the keys the stage-3 collision warning prints, to see whether a line left
#   the book at a position a later winner overwrote, instead of inferring it
#   from ply numbers.
# ovr_ply / ovr_key: the first of OUR plies where the written book served a
#   move different from the one the mine recorded at that same position, and
#   the position hash there (-1 / 0 = never). A nonzero ovr_key is a measured
#   overwrite of this line by a later winner, not an inference from oob_first.
#   Blank under --verify-only, which has no mined path to compare against.
# rejected: stage-2 wins refused because committing the line would have
#   overwritten a position an already-won line depends on.
# v_plies: half-moves in the openerBook verification game. A line that matches
#   `plies` played the same length game the miner recorded.
colour	mined	audit	verify	timed	plies	v_plies	our_moves	oob_first	oob_count	oob_key	ovr_ply	ovr_key	tried_nodes	tried_moves	rejected	blocked_shared	opponent
W	1	1	W	0	23	23	12	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	greedy@1.classic(chip=100)@2
B	1	1	W	0	22	22	11	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	greedy@1.classic(chip=100)@2
W	1	1	W	0	39	39	20	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	greedy@1.classic(chip=10,wall=3,column=2)@2
B	1	1	W	0	62	62	31	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	greedy@1.classic(chip=10,wall=3,column=2)@2
W	1	1	W	0	23	23	12	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=1)@3.classic(chip=100)@2
B	1	1	W	0	22	22	11	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=1)@3.classic(chip=100)@2
W	1	1	W	0	25	25	13	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.classic(chip=100)@2
B	1	1	W	0	24	24	12	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=2)@3.classic(chip=100)@2
W	1	1	W	0	31	31	16	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=3)@3.classic(chip=100)@2
B	1	1	W	0	36	36	18	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=3)@3.classic(chip=100)@2
W	1	1	W	0	33	33	17	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.classic(chip=100)@2
B	1	1	W	0	38	38	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.classic(chip=100)@2
W	1	1	W	0	33	33	17	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=5)@3.classic(chip=100)@2
B	1	1	W	0	38	38	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=5)@3.classic(chip=100)@2
W	1	1	W	0	37	37	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.classic(chip=10,wall=3,column=2)@2
B	1	1	W	0	72	72	36	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.classic(chip=10,wall=3,column=2)@2
W	1	1	W	0	37	37	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=1)@2
B	1	1	W	0	66	66	33	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=1)@2
W	1	1	W	0	37	37	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=2)@2
B	1	1	W	0	48	48	24	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=2)@2
W	1	1	W	0	37	37	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=4)@2
B	1	1	W	0	46	46	23	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=4)@2
W	1	1	W	0	37	37	19	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=8)@2
B	1	1	W	0	46	46	23	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=8)@2
W	1	1	W	0	30	30	15	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,noab,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	35	35	17	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,noab,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	32	32	16	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	7	19	0	0	ab(deep=6,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,ord,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,ord,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,margin=25,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,margin=25,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,margin=50,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,margin=50,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	58	58	29	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,margin=100,nodes=200k)@3.classic(chip=100)@2
B	1	1	W	0	57	57	28	-1	0	0000000000000000	-1	0000000000000000	1	1	0	0	ab(deep=6,tt,ord,margin=100,nodes=200k)@3.classic(chip=100)@2
W	1	1	W	0	47	47	24	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=64,column=1,forward=15)@2
B	1	1	W	0	32	32	16	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=64,column=1,forward=15)@2
W	1	1	W	0	47	47	24	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=65,column=1,forward=14)@2
B	1	1	W	0	32	32	16	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=4)@3.exp(chip=65,column=1,forward=14)@2
W	1	1	W	0	52	52	26	-1	0	0000000000000000	-1	0000000000000000	0	0	0	0	ab(deep=6,tt,ord,nodes=200k)@3.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1
