# rank.exe refute -- refutation book, one entry per position where the
# book-wearer moves. Lines carry the full continuation to the win, so the
# wearer's own brain is never consulted on a covered line.
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2
# board=boards/board1.txt	roster=ranking/roster_refute_snapshot.txt
# targets=210	solved=203
# wear it as: ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=26)@1
0009f31c8e056347 0 2 0
0019a461c2a4a6e8 2 5 2
0035cdd0ef2e5203 5 3 6
004fc04703153a69 4 3 3
007d017ea902c551 3 4 4
008528ecb3207a1b 1 4 2
009445b4c4e8027a 3 4 2
00aa3a37b5d57d97 4 0 3
00c2176c90905558 0 7 1
00d5e92c66475ae2 5 4 4
00ddfe0676db441e 0 2 1
00e2b93390d0ce6a 0 4 0
00eace18b3b1d339 1 3 0
00eb6527f776f09f 1 3 0
00f0b89134ded686 4 3 5
013b1d6a335ac6ad 2 5 1
0162ff0b79efb304 2 3 1
016a2a6aa2eb7ad2 1 4 0
0181cb5eaf3c7ad3 4 2 5
0185f4a7ff287c00 4 6 3
0199f28e340edf5b 2 3 1
01bec9282d6fee3d 1 4 0
01ce96ace938dbef 1 2 0
01cea9b81a832d6a 2 5 1
01ea1b0d8516de07 1 3 0
01f02c29e5afa19c 3 1 2
01f835dce3d5ffb1 4 3 3
0225ddc2338e7583 3 4 2
0233618a12025195 7 3 7
025c71807a0e7996 4 4 4
02604b9ca8f1ab0e 5 1 6
026d2b8c3f84bb84 0 5 1
0272783a383a6496 6 3 5
029d67fc060d7d72 1 2 2
02ba1c8c42a5a1ed 3 2 3
02f11e5fadc1064d 1 5 0
0330531e3bba7898 4 3 3
0335138cbde392ec 5 4 4
033aa8ca77f3cbae 6 3 7
035ca929d51755b5 5 6 4
0387c9ea99ad153a 1 5 2
03a40741e2131450 2 2 2
03c2bc1e6a3d5c75 1 1 0
03c7c99bcf9c2195 1 5 0
03ccd05771662d95 5 6 4
03edb911832c6d8f 0 3 1
03ee890012e12418 3 5 4
03f6dff417fc14cc 5 4 6
03fa1bfcb87cec1e 2 1 3
041e7a5383a0b96c 1 4 2
0439173baa2cfeb0 4 3 5
0448cc92e436a42d 0 3 1
044e9681cadf0859 5 5 5
04784ea83013ffa7 2 1 1
047a501bd3d7e994 3 0 3
047af9c9b276d8b3 3 5 2
047f98e2b4bee165 5 1 4
04980f82163ece89 1 2 0
04b456ba4aeaf6f5 4 3 5
04ba2e89d0b92d67 1 5 0
04c98406d878d5c7 4 3 3
04d6c5e40a5c9f89 0 0 1
04dfa9764a251f4b 4 3 4
04e012acc40ffdde 6 5 5
04f6cd6d7c93f3dc 1 2 2
050bbfa9a2038309 2 5 1
05132b02b98c0281 4 5 5
0524bd3827afd8b9 2 2 1
0526eea2712b8373 1 5 0
05321d1f2ed4d4be 1 7 2
05393b8de0d92b1f 1 5 2
053f4b0ed6daca97 0 0 1
0561cdbcae18cd46 1 2 2
057d08e0b30e7e61 0 6 1
05917ef7aa1b7378 0 3 1
05d1a89db03a796c 2 4 2
05d72f165b7feb9e 6 2 5
05da0567e4549f7d 3 6 4
05f31953f4ebe0bd 5 4 6
05faad1eb5b99ebb 4 3 5
0600dba37df285a4 1 1 0
0605926421fbd665 0 6 1
061c91f954e1c663 1 5 2
06246cd60de861f0 2 4 1
062cf16d910be898 1 5 0
06410d331f9a5505 0 0 1
065cfdf4b4e3975e 1 4 0
0667453f1c742f20 3 5 2
066eed9933d236cd 4 2 4
0670b342396979ae 1 4 0
0677914d0c54adfc 0 5 1
068636d981da47dc 2 4 3
06ac1edfabb56e59 0 4 0
06b18610b1292120 5 2 4
06d2df3041fa1c15 1 4 0
06d904ad5c1d734f 5 6 4
06e1212b04748a99 4 3 3
06eeea143d40e916 4 4 5
06efb504aca82c25 5 5 4
06fc4b05af877b29 4 2 3
06ffe9f30ba7582d 4 2 5
07285df2790af071 0 3 1
072bc95f294c6174 0 1 1
073857c6b2fdc55d 2 1 1
07398cbaa045fd46 1 3 1
07488729a6efef1f 2 3 3
07719810fc680b3a 2 1 1
077b6793768df594 2 2 1
077df5bbbe476e35 1 6 0
07886fa6e0d096ea 0 4 1
0789d2d7140e1ef3 1 1 0
078e938f1ea32aa6 1 3 2
078faf88ad634ff8 3 4 4
0791a793df2699bc 1 7 2
07b8986d5b3f458f 3 4 4
07c252a1eaaf21f7 1 5 0
07c917f632ecd998 6 2 7
07d66a212ccc352e 1 5 0
07db1015422245af 1 4 0
07e2237a1d488ab8 4 6 3
080001301d401fdf 1 5 0
0821869c4f3e3d22 0 7 1
08320c770a99491c 3 5 4
0835e795635aa2a2 2 1 1
08653df8b8982633 5 6 4
086e979839ea7e73 1 7 0
08715fa21148d421 0 4 1
0876a17d4835e671 2 4 1
0883858cf72f0ab7 1 4 2
0883f0c5cf05ffdc 3 5 2
088f7e0ec24eedab 0 3 1
08ad7e26478bfec2 1 5 0
08cc4d579520ded4 2 3 3
08eabe4cc6a1d8be 3 1 2
08ef935d4b490e47 2 5 1
08f922edcad8647f 3 0 2
090c75ea4e8d3525 6 2 5
090e5e33cdca5232 5 7 6
09123623c33ffbeb 3 2 4
0912492207e1e84d 0 4 0
092bf35670cc5b48 0 3 0
09304dababf2a952 1 3 0
097a1d15505b8005 0 5 0
0986a1d37e47e7db 2 4 1
099e7e4e177af506 3 2 2
09ab1624e7c6bdb3 1 6 0
09b7b9725f3aaa29 1 5 1
09c53d95a011e2bc 2 2 1
09c834cc66d41539 1 3 0
09cba1048ab147ad 2 4 1
09ec75377ef48385 5 2 4
0a0713fcdd63dd36 2 2 3
0a0ffc9ffb3daea0 1 5 0
0a249d15b5c3a2c5 6 1 5
0a27db28b8fa6a51 4 7 3
0a3c5bf5b5a78f92 2 7 1
0a4b2d44fe8922e2 1 2 0
0a5e577ec53105af 7 6 6
0a5ef7ad8790ba22 1 2 2
0a774f7812f68f97 4 1 3
0a845d85d4e06bd5 3 6 2
0a8ea48d3c3a9e7d 0 0 1
0acb09ae16bc4db6 5 1 6
0af1aea9579f1525 2 3 1
0af3c0c15d8971d9 1 1 0
0af94c10bce0a3ad 0 4 0
0b467f412bb98808 3 2 2
0b7c2163b367a0d3 5 6 4
0bb9e9f6be164101 4 5 5
0be135a756d92599 3 6 2
0be3c4084015a938 2 3 3
0beb09f42d25dd36 0 1 1
0bfada15b8a447ec 1 5 0
0c11afd899be951a 1 4 0
0c124325d5b2319e 0 5 1
0c15b3444c60a0f2 6 2 7
0c2b1cd0388a1e86 0 5 0
0c45cc5c7889d55a 3 5 4
0c4d09840d492ecd 2 6 1
