# rank.exe refute -- one row per (target, colour)
# oracle=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2	wearer=ab(deep=8,tt,ord,nodes=2m)@3.classic(chip=100)@2.opener(book,book=21)@1	board=boards/board1.txt
# mined: 1 = the miner found a win, 0 = conceded
# verify: W/L/D for the BOOK's side, replayed through openerBook by the wearer
# blocked_shared: every position on the losing line was owned by an already-won
#   line, so no move could be changed without breaking one. That is the merge
#   conflict a single position-keyed book cannot express.
# audit: 1 = the WRITTEN book won this line replayed on its own. Distinct from
#   `mined`, which only says the line was found while our side was still
#   searching at unbooked plies.
# oob_first: the first of OUR moves the book did not serve, so the fallback brain
#   had to choose (-1 = the book covered the whole line). A line with oob_first
#   >= 0 was carried by the brain, not by the book, whatever its result says.
# v_plies: half-moves in the openerBook verification game. A line that matches
#   `plies` played the same length game the miner recorded.
colour	mined	audit	verify	timed	plies	v_plies	our_moves	oob_first	oob_count	tried_nodes	tried_moves	blocked_shared	opponent
W	1	1	W	0	23	23	12	-1	0	0	0	0	greedy@1.classic(chip=100)@2
B	1	1	W	0	22	22	11	-1	0	0	0	0	greedy@1.classic(chip=100)@2
W	1	1	W	0	39	39	20	-1	0	0	0	0	greedy@1.classic(chip=10,wall=3,column=2)@2
B	1	1	W	0	62	62	31	-1	0	0	0	0	greedy@1.classic(chip=10,wall=3,column=2)@2
W	1	1	W	0	23	23	12	-1	0	0	0	0	ab(deep=1)@3.classic(chip=100)@2
B	1	1	W	0	22	22	11	-1	0	0	0	0	ab(deep=1)@3.classic(chip=100)@2
W	1	1	W	0	25	25	13	-1	0	0	0	0	ab(deep=2)@3.classic(chip=100)@2
B	1	1	W	0	24	24	12	-1	0	0	0	0	ab(deep=2)@3.classic(chip=100)@2
W	1	1	W	0	31	31	16	-1	0	0	0	0	ab(deep=3)@3.classic(chip=100)@2
B	1	1	W	0	36	36	18	-1	0	0	0	0	ab(deep=3)@3.classic(chip=100)@2
W	1	1	W	0	33	33	17	-1	0	0	0	0	ab(deep=4)@3.classic(chip=100)@2
B	1	1	W	0	38	38	19	-1	0	0	0	0	ab(deep=4)@3.classic(chip=100)@2
W	1	1	W	0	33	33	17	-1	0	0	0	0	ab(deep=5)@3.classic(chip=100)@2
B	1	1	W	0	38	38	19	-1	0	0	0	0	ab(deep=5)@3.classic(chip=100)@2
W	1	1	W	0	37	37	19	-1	0	0	0	0	ab(deep=4)@3.classic(chip=10,wall=3,column=2)@2
B	1	1	W	0	72	72	36	-1	0	0	0	0	ab(deep=4)@3.classic(chip=10,wall=3,column=2)@2
W	1	1	W	0	37	37	19	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=1)@2
B	1	1	W	0	66	66	33	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=1)@2
W	1	1	W	0	37	37	19	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=2)@2
B	1	1	W	0	48	48	24	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=2)@2
W	1	1	W	0	37	37	19	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=4)@2
B	1	1	W	0	46	46	23	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=4)@2
W	1	1	W	0	37	37	19	-1	0	0	0	0	ab(deep=4)@3.exp(chip=4,forward=8)@2
